Criterion Name,Audit Type,Criterion ID,Default Fix,Dimension,Failure Signals,How to verify?,Max Score,Operational Impact,Severity,Target,What is being checked?
Product imagery matches selected variant,PDP,PDP-SI-IMAGE-01,Ensure that variant selection triggers accurate and synchronized imagery updates.,Semantic Integrity,"- Image does not change when variant changes
- Incorrect variant imagery displayed
- Default imagery persists across selections
- Visual mismatch with selected attributes",Switch between variants and confirm that the primary product imagery updates accordingly and does not display conflicting representations.,8,"If product imagery does not reflect the selected variant, users may misinterpret the product configuration, increasing error risk, returns, and trust erosion.",Medium,"Agent, Human",Checks whether the product imagery dynamically reflects the currently selected variant.
Primary product information is visible above initial viewport,PDP,PDP-DC-VIEWPORT-01,Prioritize core product information within the initial viewport to support immediate decision evaluation.,Decision Clarity,"- Oversized hero sections push product data below the fold
- Critical decision data requires scrolling
- Promotional content displaces product information","Load the PDP on a standard laptop viewport and confirm that core decision elements such as product name, price, and primary CTA are immediately visible. Then do the same for mobile.",7,"If essential product information is not immediately visible, decision latency increases and users must invest additional effort before evaluating the product.",Medium,Human,Checks whether essential product information is visible within the initial viewport without requiring scroll.
Variant selection is required before purchase when applicable,PDP,PDP-DC-VAR-REQ-01,Require mandatory variant selection before enabling purchase actions and provide immediate guidance.,Decision Clarity,"- User can trigger errors after clicking CTA
- Missing variant feedback
- Silent failure",Attempt to add the product to cart without selecting mandatory variants and observe whether the interface prevents progression with clear guidance.,9,"If mandatory selections are not enforced early, users encounter preventable errors that interrupt purchase flow and increase abandonment risk.",High,"Agent, Human",Checks whether required variant selections are enforced before enabling purchase actions.
Stock status reflects real purchasability,PDP,PDP-SR-STOCK-01,Synchronize stock indicators with real-time purchase logic.,System Robustness,"- In stock but cannot purchase
- Out of stock but purchasable
- Stock updates too late",Attempt checkout with the displayed stock state and confirm consistency.,10,"When stock information is unreliable, transactions fail and system credibility is severely damaged.",CRITICAL ‼️,"Agent, Human, Machine",Checks whether displayed stock status accurately reflects actual purchase capability.
Product description communicates functional understanding,PDP,PDP-DC-DESC-01,Provide a clear functional description that enables immediate comprehension.,Decision Clarity,"- Pure marketing language
- Missing use context
- Ambiguous function",Review the description and determine whether a first-time visitor can understand the product's purpose without inference.,9,"If the product’s function is unclear, decision confidence collapses and evaluation time increases.",High,"Agent, Human",Checks whether the product description explains what the product does and who it is for.
No contradictory product information across the PDP,PDP,PDP-SI-CONSIST-01,Ensure a single authoritative product data source.,Semantic Integrity,"- Conflicting dimensions
- Different materials listed
- Variant mismatch",Cross-check key attributes across sections.,10,Contradictory information destroys trust and prevents reliable machine interpretation.,CRITICAL ‼️,"Agent, Human, Machine","Checks whether product data remains internally consistent across titles, attributes, descriptions, and structured elements."
Primary CTA is visually dominant,PDP,PDP-DC-CTA-VIS-01,"Increase the visual prominence of the primary CTA through contrast, size, or placement while reducing competition from secondary elements.",Decision Clarity,"- Primary CTA visually blends with secondary actions
- Competing buttons have similar color or weight
- Promotional elements overpower the purchase action
- CTA appears visually muted or low-contrast
- Multiple elements compete for primary attention","Load the PDP and observe the initial viewport. Determine whether the primary CTA is immediately distinguishable through contrast, size, or spatial prominence without requiring visual search.",7,"If the primary action lacks visual priority, decision friction increases and interaction hesitation emerges.",Medium,Human,Checks whether the primary purchase action is visually distinguishable from secondary actions.
PDP loads core decision data without delay,PDP,PDP-SR-LOAD-01,"Ensure that essential decision data (price, availability, primary CTA state) is rendered reliably on initial load with stable placeholders and without blocking states or late client-side injection.",System Robustness,"- Price loads late
- CTA appears delayed
- Layout shifts","Load the PDP on a standard desktop connection and observe whether price, availability, and CTA state appear immediately without intermediate loading states.",9,Delayed decision data interrupts evaluation flow and increases bounce probability.,High,"Agent, Human",Checks whether essential product data loads reliably without blocking states.
Purchase restrictions are disclosed upfront,PDP,PDP-C-RESTRICT-01,"Disclose all transaction-blocking restrictions on the PDP near the primary purchase action, using explicit, readable text that matches the actual enforcement logic across cart and checkout.",Decision Clarity,"- Restrictions are only revealed in cart or checkout
- Restrictions are hidden in legal/FAQ pages without PDP visibility
- Restriction messaging is vague or incomplete (e.g., ""restrictions may apply"")
- Restrictions contradict other PDP information (e.g., ""ships worldwide"" but checkout blocks regions)
- User can click the primary CTA and only then learns the restriction","Review the PDP for explicit restriction messaging near the purchase area (price/CTA). Then attempt a purchase scenario that triggers restrictions (e.g., increase quantity, choose a restricted delivery region if possible, or proceed until the restriction would appear). Confirm the restriction was disclosed on the PDP before the user committed to checkout.",9,"If purchase restrictions are not disclosed upfront, users and agents encounter late-stage blockers that trigger frustration, increase abandonment, and erode transactional trust.",High,"Agent, Human",Checks whether any purchase restrictions that can block or limit the transaction are clearly disclosed on the PDP before the user attempts to buy.
Structured product data aligns with visible content,PDP,PDP-ME-ALIGN-01,Ensure that structured product data is dynamically synchronized with the visible PDP content and updated whenever product attributes change.,Machine Extractability,"- Structured price differs from displayed price
- Availability markup contradicts visible stock status
- Product marked as ""InStock"" but cannot be purchased
- Variant data missing or inconsistent
- Structured brand or product name differs from visible content
- Outdated structured data persists after product updates","Extract the structured product data using a schema validation tool or browser inspection and compare key attributes (product name, price, availability, brand, variant data) against the visible PDP content. Confirm that both representations match without contradiction.",10,"When structured data diverges from visible content, automated systems ingest incorrect product information, leading to indexing errors, flawed recommendations, failed agent decisions, and loss of platform trust.",CRITICAL ‼️,"Agent, Machine","Checks whether structured product data (e.g., http://schema.org/ markup, JSON-LD, microdata) accurately reflects the product information visible to users on the PDP."
Fulfillment expectations are clearly communicated and structurally supported,PDP,PDP-TD-FUL-01,"Introduce explicit delivery expectations on the PDP (e.g., “Delivered in 1–3 business days”) and ensure fulfillment signals are consistent across UI and structured data where applicable.

Avoid deferring shipping visibility entirely to checkout.",Trust & Decision Enablement,"- No delivery estimate is visible prior to checkout
- Shipping cost clarity is deferred entirely to checkout
- Only store pickup is communicated while shipping expectations remain undefined
- Generic messaging such as “Shipping calculated at checkout” without timeframe
- Structured data lacks shipping
- Details despite complex fulfillment setup
- Visible fulfillment messaging contradicts structured data","Check whether the PDP communicates at least one fulfillment expectation:
• Delivery timeframe
• Handling time
• Shipping speed
• Free shipping thresholds
• Geographic limitations
• Pickup conditions vs shipping clarity
If users must enter checkout to understand when they will receive the product → flag.",10,"Unclear fulfillment expectations introduce purchase hesitation, slow decision velocity, and can materially reduce conversion rates.

Clear delivery messaging is consistently associated with increased purchase confidence and faster buying decisions.",High,"Human, Machine","Whether fulfillment expectations are transparently communicated on the PDP and supported by structured data where possible, ensuring alignment between operational reality, user perception, and machine-readable signals."
Related product variants are clearly discoverable and cross-linked,PDP,PDP-MERCH-VARIANT-01,"Ensure that related product variants (e.g., colors, materials, configurations) are visibly interconnected on the PDP through intuitive navigation elements such as swatches, variant selectors, or “available in other options” modules.

When variants are separated into individual product pages, implement bidirectional cross-linking to allow frictionless exploration between alternatives.

Prioritize visual navigation over text-based discovery.",Decision Clarity,"- No visible path to alternative variants
- Users must rely on search or category navigation to find other versions
- Related variants exist but are not cross-linked
- Variant discovery requires multiple navigation steps
- Only one version is presented despite additional available options
- Text-only references without visual affordances
- Cross-links exist but lack prominenceVariant relationships are not immediately recognizable","Review the PDP and determine whether users can immediately recognize and access alternative variants without leaving the product context.
Check for:
• Color swatches
• Variant selectors
• “Available in other colors/materials”
• Visual navigation modules
• Grouped product families
If discovering another variant requires returning to listing pages → fail.",9,"High commercial impact.

If alternative variants are not easily discoverable, customers may incorrectly assume limited availability and abandon the purchase despite viable options existing.

Improving variant visibility preserves demand, increases product exposure, and materially strengthens conversion probability.",High,Human,"Checks whether related product variants are structurally interconnected and immediately discoverable, ensuring customers can frictionlessly navigate to preferred alternatives without disrupting the purchase journey."
Price is rendered as authoritative text in DOM,PDP,PDP-SR-PRICE-01,"Render the final purchasable price as static, machine-readable text in the DOM that does not rely solely on client-side rendering.",System Robustness,"- Price missing in DOM
- Price injected only via JavaScript
- Structured data price differs from visible price
- Price changes at checkout
- Currency mismatch
- Hidden mandatory fees",Inspect the PDP and confirm the final price is visible as machine-readable text in the DOM (not JavaScript-only). Disable JavaScript to verify a server-rendered fallback exists. Cross-check structured data for price consistency. Add the product to cart and confirm the price does not change or reveal hidden mandatory fees.,10,"If price cannot be reliably parsed, automated systems cannot evaluate affordability, rank products, or execute transactions.",CRITICAL ‼️,"Agent, Human, Machine","Checks whether the final purchasable price is rendered as static, machine-readable text in the DOM, consistent with structured data, and does not change unexpectedly during checkout."
Above-the-fold decision completeness,PDP,PDP-DC-ATF-01,"Restructure above-the-fold section so that purchase decision can be made without scrolling: show final price, clear primary CTA, variant state, delivery expectations, and at least one trust signal within the initial viewport (desktop + mobile).",Decision Clarity,"- Primary CTA not visible without scroll
- Final price not visible within initial viewport
- Variant selection state unclear or hidden
- Delivery information only visible after scrolling
- No visible trust reinforcement element above-the-fold","
1. Load PDP in clean browser session.
2. Test on standard desktop resolution (1440px width) and common mobile viewport (390px width).
3. Do not scroll.
4. Check whether the following elements are immediately visible:
    ◦ Product title
    ◦ Final price
    ◦ Selected variant
    ◦ Primary CTA
    ◦ Delivery information
    ◦ At least one trust element
5. Document missing elements per device type.",9,"Incomplete above-the-fold structures increase hesitation, reduce impulse purchasing behavior, and negatively impact paid traffic efficiency and bounce rate.",High,Human,Whether the PDP above-the-fold area contains all critical purchase decision elements required for a confident buying action.
Primary value proposition clarity,PDP,PDP-DC-PVP-01,Rewrite and restructure the primary product messaging so that the core benefit and differentiation of the product are immediately understandable in one concise statement above-the-fold.,Decision Clarity,"- Product title describes only category or model without benefit context
- No clear articulation of the product’s primary outcome or use-case
- Value proposition requires scrolling to understand
- Messaging focuses on features without communicating user-relevant benefit
- Headline and subheadline do not clarify why this product should be chosen over alternatives","1. Open PDP in clean browser session.
2. Focus on the headline and immediate supporting text above-the-fold.
3. Ask: Can the product’s primary benefit be understood within 5 seconds?
4. Remove brand familiarity assumption. Evaluate from first-time visitor perspective.
5. Document whether the product communicates outcome, differentiation, or only technical description.",9,"Unclear value propositions reduce conversion by increasing hesitation and forcing users to interpret product relevance themselves. Clear primary value articulation increases confidence, reduces cognitive effort, and accelerates add-to-cart behavior.",High,"Agent, Human",Whether the PDP communicates the product’s core benefit and differentiation clearly and immediately within the primary headline and supporting above-the-fold messaging.
Social proof density & placement,PDP,PDP-DC-SP-01,"Ensure that social proof elements (rating, review count, qualitative testimonials, or usage indicators) are visibly integrated within decision-critical PDP areas, especially above-the-fold and near primary CTAs.",Decision Clarity,"- Star rating not visible above-the-fold
- Review count missing or visually minimized
- Social proof only visible after extensive scrolling
- No qualitative review excerpts or credibility reinforcement present
- Reviews exist but are visually disconnected from purchase decision area","Open PDP in clean browser session.Check above-the-fold area for visible star rating and review count.Scroll through PDP and identify placement of review block.Evaluate whether social proof is positioned near decision points (price, CTA, variant selection).Confirm whether at least one qualitative reinforcement (short excerpt, testimonial, usage indicator) supports credibility.",9,"Insufficient or poorly placed social proof increases hesitation and reduces perceived trustworthiness, directly lowering conversion probability. Proper placement near decision elements reinforces confidence and accelerates purchase intent.",High,"Agent, Human",Whether social proof is sufficiently visible and strategically placed within decision-critical areas of the PDP to reinforce purchase confidence.
Variant friction index,PDP,PDP-DC-VAR-01,"Simplify and clarify variant selection by reducing interaction steps, making selected states immediately visible, and ensuring that users can complete required selections without confusion or unnecessary effort.",Decision Clarity,"• User must interact (click/open dropdown) to understand available variants
• Selected variant state is visually unclear
• CTA remains disabled without clear explanation
• Error messages appear only after failed add-to-cart attempt
• Variant labels are ambiguous (e.g., unclear sizing, color names without visual support)
• Excessive number of clicks required before CTA becomes active
",Open PDP in clean session.Identify whether variant selection is required before purchase.Attempt to understand available options without interacting.Select variants and count required interaction steps before CTA activation.Attempt add-to-cart without selecting variant to test error clarity.Evaluate visual clarity of selected state and variant differentiation.,9,"High variant friction increases abandonment before add-to-cart, especially in multi-option products (e.g., size, color, configuration). Reducing interaction complexity directly improves add-to-cart rate and overall conversion.",High,"Agent, Human","Whether variant selection is intuitive, clearly communicated, and requires minimal cognitive and interaction effort before enabling purchase."
Cognitive load per section,PDP,PDP-DC-CL-01,"Restructure PDP sections to reduce cognitive overload by improving scannability, prioritizing essential information, and eliminating redundant or visually competing elements.",Decision Clarity,"- Large unstructured text blocks without visual hierarchy
- Excessive repetition of similar information across sections
- Overuse of icons, badges, or micro-labels creating visual noise
- Multiple competing visual focal points within a single section
- Lack of clear information grouping (benefits, specifications, delivery, returns)
- Important information buried within dense paragraphs","1. Scroll through PDP and evaluate each section independently.
2. Identify presence of long paragraphs without sub-structure.
3. Check for repeated value statements across sections.
4. Assess whether visual elements (icons, labels, badges) compete for attention.
5. Confirm whether information is grouped logically and supports scanning behavior.
6. Evaluate whether a first-time visitor can extract key benefits within seconds per section.",9,"High cognitive load increases decision fatigue, slows evaluation, and reduces add-to-cart likelihood. Clear information hierarchy and reduced visual noise accelerate understanding and improve conversion efficiency.",High,"Agent, Human","Whether each PDP section minimizes mental effort by presenting information in a structured, scannable, and decision-supporting manner."
Visual proof of value,PDP,PDP-DC-VPV-01,"Enhance product media to visually demonstrate use-case, quality, scale, and outcome relevance instead of relying solely on isolated product imagery.",Decision Clarity,"- Product images show only isolated object without contextual usage
- No image demonstrates product in real-life scenario
- No visual detail highlighting material, craftsmanship, or key feature
- Variant differences not visually distinguishable
- Media does not communicate size, scale, or functional outcome
- Video (if present) adds no additional value explanation","1. Review entire product media gallery.
2. Identify whether at least one image shows real-life usage context.
3. Check whether product details (material, texture, mechanism) are visually demonstrated.
4. Evaluate whether image order supports understanding progression.
5. Confirm whether visual content communicates outcome, not just object.
6. Compare variants visually to assess clarity of differentiation.",9,"Lack of visual proof increases uncertainty and reduces purchase confidence, particularly for first-time visitors. Strong contextual imagery reduces perceived risk, improves perceived quality, and increases add-to-cart likelihood.",High,"Agent, Human","Whether the PDP media gallery actively demonstrates product value, use-case relevance, and quality through context-rich visual content."
Urgency & momentum signals,PDP,PDP-DC-UMS-01,"Integrate legitimate urgency and momentum signals near decision-critical areas (price and CTA) to communicate availability, delivery timing, or product demand transparently.",Decision Clarity,"• No visible stock availability information
• No delivery timing information near purchase area
• No indicators of demand or popularity (if applicable)
• Urgency signals placed far below primary decision area
• Use of artificial countdown timers without factual basis
• Generic urgency messaging not tied to real conditions","1. Inspect area near price and primary CTA.
2. Confirm visibility of stock level or availability status.
3. Verify presence of realistic delivery timeframe messaging.
4. Check for popularity indicators (e.g., bestseller label, review volume, demand signals).
5. Evaluate whether urgency messaging is factual and not artificially inflated.
6. Assess whether signals reinforce decision timing rather than distract.",9,"Absence of momentum signals reduces purchase immediacy and increases postponement behavior. Clear, factual urgency indicators support faster decision-making and reduce delayed abandonment.",High,"Agent, Human","Whether the PDP communicates real-time availability, delivery timing, or demand signals that encourage timely purchase decisions without misleading tactics."
Price anchoring presence,PDP,PDP-DC-PAP-01,"Introduce transparent price comparison or value framing elements (e.g., reference pricing, savings display, bundle advantage, tiered pricing) to contextualize the product price and strengthen perceived value.",Decision Clarity,"• Single standalone price shown without contextual comparison
• No indication of savings, discount, or reference value (if applicable)
• No bundle, multi-buy, or tiered pricing visibility (where relevant)
• Discount percentage shown without clear original reference price
• Pricing advantages hidden below primary decision area
• Reference pricing appears misleading or legally unclear","1. Review pricing area near primary CTA.
2. Identify whether price is contextualized through comparison (e.g., original price, competitor reference, bundle savings).
3. Confirm clarity and transparency of any discount or savings statement.
4. Check whether pricing framing is visible without scrolling excessively.
5. Evaluate whether pricing structure supports value perception rather than ambiguity.",9,"Isolated pricing reduces perceived value and increases price sensitivity. Effective price anchoring increases perceived fairness, supports justification of purchase, and improves conversion probability.",High,"Agent, Human",Whether the PDP contextualizes the product price through transparent value framing mechanisms that strengthen perceived affordability or advantage.
Object handling block,PDP,PDP-DC-OHB-01,"Introduce a clearly structured objection-handling section that proactively addresses common purchase concerns (e.g., suitability, compatibility, quality, returns, sizing, material, usage conditions).",Decision Clarity,"• No dedicated section addressing common customer concerns
• FAQs exist but are generic and not purchase-relevant
• Objection-reducing information scattered without structure
• Critical concerns (returns, sizing, compatibility, care) difficult to locate
• Objection content placed far below primary decision journey
• Answers focus on policy language rather than decision reassurance","1. Review PDP for a clearly identifiable objection-handling or FAQ block.
2. Identify whether content addresses real purchase hesitations (e.g., “Is this right for me?”).
3. Evaluate clarity and specificity of answers.
4. Confirm whether key objections are grouped logically and easy to scan.
5. Assess placement relative to decision flow (not hidden at extreme bottom).
6. Determine whether content reduces uncertainty rather than repeating product specs.",9,"Unaddressed objections increase hesitation and external research behavior, reducing conversion probability. Proactive objection handling lowers uncertainty, increases trust, and supports faster add-to-cart decisions.",High,"Agent, Human","Whether the PDP proactively identifies and addresses common purchase objections in a structured, easily scannable format that supports confident buying decisions."
Scroll-to-CTA Reinforcement,PDP,PDP-DC-CTA-01,Ensure that the primary add-to-cart action is consistently accessible throughout the decision journey via strategic CTA repetition or sticky behavior without creating visual clutter.,Decision Clarity,"• Primary CTA only visible above-the-fold
• No sticky add-to-cart functionality on mobile
• Long scroll sections without CTA reinforcement
• Secondary CTAs visually compete with primary action
• CTA reappears but lacks price or variant context
• CTA placement inconsistent across devices","1. Scroll entire PDP on desktop and mobile.
2. Identify whether the primary CTA remains accessible after scrolling.
3. Confirm presence of sticky CTA on mobile (if long-form PDP).
4. Evaluate whether repeated CTAs maintain clarity and hierarchy.
5. Check whether price and selected variant remain visible near reinforced CTA.
6. Assess whether CTA reinforcement improves continuity without clutter.
",9,"Lack of CTA reinforcement increases decision drop-off after content consumption. Persistent, well-placed CTAs reduce friction and directly increase add-to-cart rate.",High,"Agent, Human",Whether the primary purchase action remains consistently accessible and contextually reinforced throughout the PDP scroll journey.
Canonical Product & Offer Identity,PDP,PDP-MI-ID-01,"  • Add missing brand and model information to the PDP title or header
  • Ensure variant selection updates all identity-relevant fields
  • Align JSON-LD / structured data with visible product data
  • Introduce or expose stable identifiers (SKU, GTIN, etc.)",Semantic Integrity,"  • Product name is generic or ambiguous (e.g. “Premium Hoodie”)
  • No brand or model reference visible
  • Multiple variants share the same unclear identity
  • Variant selection changes visuals but not identity (title/SKU unclear)
  • Structured data contains different product information than the visible PDP
  • Missing or inconsistent identifiers (SKU changes, not exposed, or mismatched)
  • Agent cannot determine if two PDPs represent the same product or not","
• Change variants and check:
    ◦ Does the identity update clearly and consistently?

• Compare:
    ◦ visible product name vs structured data

• Inspect:
    ◦ Is there a stable identifier (SKU / variant ID)?

• Ask:
    ◦ Could a third party reliably identify this exact product without guessing?
",10,"Users cannot confidently verify what exact product or configuration they are purchasing.
This increases hesitation and reduces trust, especially for higher-value items.
For machines and agents, the product cannot be reliably identified, compared, or matched with other offers.
This limits discoverability, automation, and future agent-based commerce interactions.",CRITICAL ‼️,"Agent, Human, Machine","Whether the product and the specific offer shown on the PDP are clearly and unambiguously identifiable, both for humans and machines.
This includes:
• the product identity (what the item actually is)
• the offer identity (what exactly is being sold in this state)

The PDP must expose a stable, consistent identity layer that does not change depending on layout, interaction, or interpretation."
Active Variant State Synchronization,PDP,PDP-SR-VAR-01,,System Robustness,"  • Variant selection changes images but not price
  • Price updates, but delivery time does not
  • Availability does not match selected variant
  • CTA remains active for out-of-stock variants
  • SKU or variant identifier does not change with selection
  • Structured data does not reflect the active variant
  • Selected variant is not clearly reflected in title or context
  • Different parts of the page show conflicting states
  • User must reload or interact multiple times to see correct state","  • Change variants repeatedly and observe:
      ◦ price
      ◦ availability
      ◦ delivery
      ◦ images
      ◦ CTA state
  • Check if all elements update instantly and consistently
  • Inspect structured data for alignment with selected variant
  • Try edge cases (out-of-stock variants, different configurations)
  • Verify no conflicting information remains visible",10,"Users receive conflicting or outdated information about the selected product variant.
This leads to:
  • hesitation and reduced trust
  • incorrect expectations (price, delivery, availability)
  • increased drop-off before purchase
For machines and agents, the product state becomes unreliable and cannot be processed or executed correctly.",CRITICAL ‼️,"Agent, Human, Machine","Whether all decision-relevant elements on the PDP update consistently and synchronously when the user changes the active variant or configuration.
This includes all signals that influence the purchase decision and must always reflect the currently selected state."
Default PDP State Is Valid,PDP,PDP-SR-DEF-01,"Ensure that the PDP always loads with a clearly defined and purchasable state. If variants exist, either preselect a valid default or provide an explicit and immediately understandable selection requirement.

All core decision signals such as price, availability, and delivery must be visible and correct without requiring interaction. The initial state should represent a realistic and relevant version of the product.",System Robustness,"The page loads without a selected variant and does not clearly explain why.
The default state shows a configuration that is not purchasable, such as an out-of-stock variant.
Price, availability, or delivery information are missing or only appear after interaction.
The initial state creates confusion about what exactly is being offered.
The user must interact with the page before being able to understand or purchase the product.","Load the PDP in a clean session and observe the initial state without interacting.
Check whether a valid variant is selected or whether the absence of selection is clearly explained.
Confirm that price, availability, and delivery information are visible and consistent.
Assess whether a user can understand what is being offered and proceed toward purchase immediately.",10,"Users are forced to resolve uncertainty before they can even start evaluating the product. This creates friction at the very beginning of the decision process and leads to unnecessary drop-offs.

If the default state is misleading or non-purchasable, users may assume the product is unavailable or not relevant to them and leave prematurely.

For machines and agents, an undefined or invalid default state prevents reliable interpretation and execution, as there is no clear baseline offer.",CRITICAL ‼️,"Agent, Human, Machine","Whether the PDP loads in a valid, representative, and immediately actionable default state without requiring user interaction.
The initial state must reflect a real, purchasable configuration and must not mislead or block the user before they engage with the page."
